seed,episode,validation_reward,training_reward,loss
101,150,-500.49174999999997,32.73440000000001,0.12324501084908843
101,300,-451.4317499999999,15.875599999999999,0.13159154807403683
101,450,-445.06425,0.9284666666666741,0.1345068962648511
101,600,-373.44275,-1.914866666666655,0.13019281836226582
101,750,-213.82225,8.741400000000004,0.11964879885315895
101,900,-119.3185,-3.387533333333332,0.11968074499443174
101,1050,-71.13100000000001,-6.920199999999997,0.11995160845294595
101,1200,-61.78925,-26.24193333333333,0.1266947849802673
101,1350,14.24225000000001,-5.822466666666667,0.13492861673980952
101,1500,-4.044749999999998,-2.2332666666666623,0.13194141811877488
202,150,-547.1375,36.63133333333335,0.12195192436128854
202,300,-494.5112499999999,10.922533333333337,0.1325824336782098
202,450,-505.3,-5.58439999999999,0.13856409844756126
202,600,-428.74775,-6.678199999999991,0.13394582534953953
202,750,-275.4905,-1.3132666666666652,0.13010374161601065
202,900,-158.5405,-13.055533333333328,0.12120056627690792
202,1050,-54.593999999999994,-14.29159999999999,0.12064525924623012
202,1200,-22.60249999999999,-17.81739999999999,0.12311359061673284
202,1350,-27.64025,-9.506799999999993,0.12049395272135735
202,1500,4.580499999999998,-10.129066666666658,0.12455958175286651
303,150,-557.0324999999999,35.33893333333334,0.1220239819958806
303,300,-469.57075,25.599400000000006,0.12945532569661736
303,450,-509.13800000000003,2.2386666666666692,0.1287238452360034
303,600,-443.18949999999995,3.3433333333333373,0.1172615115456283
303,750,-320.55100000000004,-4.5537333333333265,0.12038044076412917
303,900,-134.96375,-12.523799999999994,0.11275905646756292
303,1050,-79.56825,5.539133333333337,0.11480346190929412
303,1200,-52.230500000000006,-15.570066666666667,0.11773254433646799
303,1350,-14.79774999999999,-12.416799999999991,0.12262357502803206
303,1500,-35.57450000000001,9.038933333333329,0.12724607887491585
101,1700,-22.807999999999986,25.514050000000008,0.11435982446372508
101,1900,-1.8339999999999974,11.269350000000008,0.12060847876966
101,2100,8.228250000000003,8.755700000000004,0.1326454293616116
101,2300,-16.592249999999993,9.971350000000006,0.13240776963159442
101,2500,16.247500000000013,19.453550000000003,0.1356275013834238
101,2700,6.875499999999997,31.584750000000017,0.12984972272068263
101,2900,10.505500000000008,22.930600000000005,0.12707339106500148
101,3100,17.910000000000014,16.031700000000008,0.12952816380932927
101,3300,19.459250000000004,12.605600000000008,0.1348501092121005
101,3500,25.890750000000004,18.211200000000005,0.1314683452770114
202,1700,9.044250000000002,12.6573,0.12621511874347927
202,1900,-29.75625,7.278800000000003,0.1263270123898983
202,2100,-1.2269999999999925,25.411550000000005,0.13356298995763063
202,2300,-25.046250000000008,17.620350000000002,0.1364534636847675
202,2500,9.585750000000015,18.957800000000002,0.13134480554610492
202,2700,-8.858749999999992,9.119200000000008,0.12803450268507005
202,2900,10.79325000000001,20.398550000000004,0.126103569727391
202,3100,25.03400000000001,17.46805,0.13253059139847756
202,3300,38.71300000000001,21.533450000000006,0.1302027923576534
202,3500,28.447500000000012,20.0683,0.12852969206869602
303,1700,-5.085749999999988,17.503200000000007,0.13032327925413847
303,1900,-17.719499999999996,18.231950000000005,0.13592152265831828
303,2100,-29.296749999999996,20.346,0.13556832753494383
303,2300,-4.446249999999997,14.907900000000009,0.13443190916255116
303,2500,11.513000000000009,19.955750000000002,0.12916753550246357
303,2700,13.365750000000002,18.725700000000007,0.1289008873961866
303,2900,13.954250000000002,23.06315,0.12768149792030453
303,3100,19.50525,27.866600000000002,0.12914802176132797
303,3300,29.847500000000004,23.336350000000007,0.12647155640646815
303,3500,44.03825,13.721600000000002,0.13739773636311292
